ndex,thumbnail,name,description
1,https://archives.bulbagarden.net/media/upload/thumb/f/fb/0001Bulbasaur.png/70px-0001Bulbasaur.png,Bulbasaur,weak weak frail frail slow light short chlorophyll overgrow grass poison ivysaur bulbasaur 1 pair anime pupil grassland ownership ingrasslandsand mouth year term thekantoregion garden ceremony patch bulb tentacle energy skin plant bulbasaur head claw air amphibian gather snout seed status wild region forest by eye structure jaw tooth birth instinct back individual ear photosynthesis vine transformation top animehave leg abandonment
2,https://archives.bulbagarden.net/media/upload/thumb/8/81/0002Ivysaur.png/70px-0002Ivysaur.png,Ivysaur,weak weak frail frail slow light short chlorophyll overgrow grass poison venusaur ivysaur 2 sunlight mouth inside exposure patch bulb flower evolution skin plant head trunk claw ivysaur time amphibian snout frond aroma preparation strength eye hind weight bud jaw inplain tooth back ear plain top foot leg
3,https://archives.bulbagarden.net/media/upload/thumb/6/6b/0003Venusaur.png/70px-0003Venusaur.png,Venusaur,weak weak frail frail slow light short chlorophyll overgrow grass poison  venusaur 3 anime eruption grassland sclerae scent emotion mouth inside area rear ability ceremony flower bulb evolution pollen forehead energy center skin plant sneezing breathing toe growth calm head trunk leave day amphibian ray snout seed sun frond wild bloom iris foliage amount inhabitgrassland woody building squat belly fashion eye weight bud petal jaw body tooth attack story back nature point ear inhabit vine marking top foot fainting leg venusaur
4,https://archives.bulbagarden.net/media/upload/thumb/2/27/0004Charmander.png/70px-0004Charmander.png,Charmander,weak weak frail frail slow light short blaze solar power fire charmeleon charmander 4 specie oftrainer pack rain ownership indication fang area flame mood underside behavior tip sol eye bit chest charmander jaw body tail birth health food other foot fire
5,https://archives.bulbagarden.net/media/upload/thumb/0/05/0005Charmeleon.png/70px-0005Charmeleon.png,Charmeleon,weak weak frail frail slow light short blaze solar power fire charizard charmeleon 5 opponent protrusion area flame reptilianpokémon abattle arm battle head claw tip snout wild cream horn sol eye level temperature chest scale tail surrounding back nature foot leg plantigrade
6,https://archives.bulbagarden.net/media/upload/thumb/3/38/0006Charizard.png/70px-0006Charizard.png,Charizard,weak strong frail frail fast light short blaze solar power fire flying  charizard 6 anime cloud pupil mouth flame brow nostril underside energy skin sharpen base experience forest sol structure jaw search back point underwater edge charizard diamond bipedalpokémon appearance spike sky sclerae fang finger nose colossal one jut joint center spot meter head wrist middle coloration form fly sprout horn hand temperature front torso glacier body celsius burn itsplantigradefeet flying degree fire jet opponent shoulder mountain draconic altitude part arm battle forefeet valley tip snout breath cream belly eye blade chest neck tooth animeha top ridge foot leg prowess wing side boulder limb sleeker herd power fighter claw magma glow appendage membrane tail plantigrade
7,https://archives.bulbagarden.net/media/upload/thumb/5/54/0007Squirtle.png/70px-0007Squirtle.png,Squirtle,weak weak frail frail slow light short rain dish torrent water wartortle squirtle 7 predator digit end anime signature member curl half lake itssignature mouth accuracy resistance shape shownthat four protection pond harden shell foot bottom wild form island turtle speed hand eye grooved move lip body tool line tail birth blueturtle top ridge leg water
8,https://archives.bulbagarden.net/media/upload/thumb/0/0f/0008Wartortle.png/70px-0008Wartortle.png,Wartortle,weak weak frail frail slow light short rain dish torrent water blastoise wartortle 8 land signature anime indigoreptilianpokémonsimilar symbol half yellow lake itssignature algae finger streak side shownthat prey colony rod habitat underside cheek fur pond toe head time rudder diving air shell bottom island balance turtle speed luck eye move jaw body age scar tail tooth ear freshwater longevity aturtle water
9,https://archives.bulbagarden.net/media/upload/thumb/0/0a/0009Blastoise.png/70px-0009Blastoise.png,Blastoise,weak weak frail frail slow light short rain dish torrent water  blastoise 9 precision signature anime bipedalturtlepokémon cloud opponent shoulder half blast lake sclerae itssignature mountain group set leader shownthat charge torrent kilometers).[1]small habitat arm underside pond hole direction center spot range situation blue head freshwater claw kilometer protrude combination foot shell size battleship bottom steel cream turtle speed hand eye role front triangular move stream jaw body canon rectangle tail chin shooting legend attack back point ear mile top ridge cannon leg formation water
10,https://archives.bulbagarden.net/media/upload/thumb/5/5e/0010Caterpie.png/70px-0010Caterpie.png,Caterpie,weak weak frail frail slow light short run away shield dust bug metapod caterpie 10 predator teardrop anime caterpie insect appetite stench side camouflage foe suction caterpillar osmeterium flower underside effort skin head time leave ring surface day type silk order temperate greencaterpillarwith foliage forest jungle cup eye body tail food flying feature marking characteristic foot antenna
